,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,2.0,18.052943950664428,5.132876533185684,26.1234343957383,147.47927594184875
1,0.0,9.566502291217338,5.149115697755158,28.742422863639298,144.0508909225464
2,0.0,7.7202586110809275,5.894401244969101,27.964308999206775,139.01534509658813
3,0.0,0.0,5.08865194517935,26.85112946860378,166.25598001480103
4,0.0,6.433596555776472,5.173083224126016,25.99565220952824,136.75865411758423
5,0.0,16.37217544670007,5.038826477557688,30.285238650948163,180.82287788391113
6,1.0,9.213558654378359,5.841149672276431,29.88913913981372,149.81660795211792
7,0.0,17.32439708259825,5.070009819284439,29.32807796567872,167.096853017807
8,0.0,12.081371804303473,5.144812271320527,26.56796136197814,137.9346740245819
9,1.0,12.94538821674532,5.057037413433681,27.875921430144995,152.301992893219
PROMEDIO,0.4,10.971019261346465,5.258996429908807,27.96232864852801,152.15331518650055
