,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,1.0,5.829918057949047,5.133946004691702,24.65317443476195,122.2272560596466
1,1.0,5.434738752885333,5.024681236234448,26.157192662093145,132.22317504882812
2,1.0,11.686427864737725,5.887064403567743,26.232475622427387,123.97092890739441
3,8.0,18.372423709568896,5.119660506091141,25.497292778262924,363.76899790763855
4,0.0,7.529851184750835,5.7577734578057,27.53654847005381,133.55618810653687
5,1.0,4.554308250019793,5.05613481016224,26.497686166658408,135.2130651473999
6,3.0,15.667569844639234,5.911830099524819,25.911293256856045,126.19976687431335
7,2.0,7.452033018442388,5.097491371977154,26.28129874938771,126.48536205291748
8,2.0,12.850859001669056,5.848090545566586,27.352969496860545,138.74613189697266
9,1.0,5.08849832939403,5.025665995898449,24.30313271260695,116.9985830783844
PROMEDIO,2.0,9.446662801405633,5.386233843151999,26.042306434996885,151.93894550800323
