,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,3.0,18.828549258866428,23.28195243801917,32.13216093047965,159.05998587608337
1,5.0,20.474449207255553,26.985977770026143,36.31944563208551,194.4624879360199
2,3.0,13.864415266484968,25.007212102248783,36.400066170231824,181.95368003845215
3,4.0,19.740903683094764,27.319340453293865,29.446148071746958,134.94550895690918
4,2.0,17.850968261402425,29.015748001944033,32.61312106405074,155.46777892112732
5,4.0,23.81714909201987,26.06731193725424,36.1170100897364,178.27822995185852
6,2.0,21.004268970474936,24.33941143976945,37.96959649523667,202.9215281009674
7,4.0,19.708127783494344,26.006743601849713,32.70486387282975,165.21890783309937
8,0.0,14.233239368172388,0.27070868017733246,34.90819091759804,168.63990998268127
9,2.0,18.972578256019524,26.07586728637743,28.195635110152697,131.45159196853638
PROMEDIO,2.9,18.849464914728518,23.437027371096015,33.68062383541483,167.2399609565735
