,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,1.0,5.614122314234771,5.032463921812856,24.97327342021067,125.9123809337616
1,0.0,16.620892791586716,5.291065162777941,26.126825627765722,131.19846200942993
2,3.0,26.968036709136072,5.108458902412742,27.218399115588905,149.8669900894165
3,2.0,10.52816511974635,5.2725586489860445,25.795262466949122,139.43275904655457
4,3.0,24.97405960755837,5.057415670758025,26.178084109651927,146.7837529182434
5,3.0,19.671253833989848,5.303405783859536,25.865457556738342,132.0561192035675
6,3.0,10.067312498228187,6.996310244136822,28.04072699664188,145.6969289779663
7,3.0,10.667283987015567,5.231752698526494,26.223983153045065,144.58305406570435
8,1.0,13.4169973147769,5.1432783295945965,27.42366990705811,151.0388948917389
9,2.0,19.268449868433105,5.042664373845762,29.435484222082767,158.3943510055542
PROMEDIO,2.1,15.779657404470589,5.347937373671082,26.728116657573246,142.49636931419371
