,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,0.0,0.0,5.117628347216393,24.821545873261446,113.29421401023865
1,0.0,0.0,5.042576746455069,24.403455909188818,111.95279002189636
2,0.0,0.0,5.414350887833658,24.299381873686116,115.07315683364868
3,0.0,0.0,5.021927250353543,24.410605270586526,111.43847513198853
4,0.0,0.0,5.486370172776457,24.290453766019116,110.11266899108887
5,0.0,0.0,5.060524303217575,24.50982963778376,111.7700891494751
6,0.0,0.0,5.462680675451329,24.31593454776832,112.05471301078796
7,0.0,0.0,5.033567098050779,24.378411026868072,110.20307493209839
8,0.0,0.0,5.463473784891327,24.38397283350718,113.09196400642395
9,0.0,0.0,5.069845814305815,24.550531559302176,113.3945939540863
PROMEDIO,0.0,0.0,5.217294508055195,24.436412229797156,112.23857400417327
