,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,0.0,0.0,5.032465449473869,22.92907868521896,103.7167239189148
1,0.0,0.0,4.995739229175065,22.87336612553618,107.31009602546692
2,0.0,0.0,5.018202435953421,22.907258204972603,106.4988660812378
3,0.0,0.0,5.020736341530738,22.880346806199874,107.18639993667603
4,0.0,0.0,5.016390182369438,22.9072199495905,104.74707698822021
5,0.0,0.0,4.995736665994028,22.872018865314956,105.2945909500122
6,0.0,0.0,5.043201429939409,22.956389697214888,107.34140706062317
7,0.0,0.0,4.99573613137175,22.852026941215435,108.92344784736633
8,0.0,0.0,5.043199960300564,22.941563904789025,106.09377312660217
9,0.0,0.0,5.0207324405753795,22.889683988203362,107.49421215057373
PROMEDIO,0.0,0.0,5.018214026668366,22.900895316825576,106.46065940856934
