,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,0.0,0.0,23.053973551171964,22.805712485955926,93.97424507141113
1,0.0,0.0,22.90538987903897,23.38916245987682,98.33330702781677
2,0.0,0.0,23.02248293619832,23.152278890199188,98.54087209701538
3,0.0,0.0,22.97382573141638,23.314701483984674,99.6381299495697
4,0.0,0.0,22.975516647963804,23.08463152671106,98.98241996765137
5,0.0,0.0,22.94881241697363,23.3636855370159,100.89249300956726
6,0.0,0.0,22.975516647963804,23.213707624185634,98.74324703216553
7,0.0,0.0,22.95621444569954,23.394178139743698,100.58620500564575
8,0.0,0.0,22.975516647963804,23.183839678817783,98.21951484680176
9,0.0,0.0,22.930635626503094,23.478213044290946,100.5544319152832
PROMEDIO,0.0,0.0,22.971788453089335,23.238011087078167,98.84648659229279
