,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,1,14.9353017117,10.1472100024,13.7563737998,87.8537299633
1,1,16.6397001833,10.4018991779,11.1440842041,63.6651189327
2,1,13.8909006488,10.046808857,13.5365119415,86.4456100464
3,0,4.10548595581,10.0207087306,12.048974257,73.7118608952
4,0,3.9143012235,10.0886453472,11.3601140463,60.1446020603
5,0,9.19247123855,10.0414194091,12.4222566651,73.5629839897
6,0,13.455074778,10.650586057,12.3871157788,73.2984619141
7,0,0.0,10.4641494867,10.970141292,57.7042758465
8,0,18.9226848905,10.0656632118,12.2667798713,72.4945640564
9,0,8.25584508941,10.1146489177,12.7693065562,75.6270010471
10,0,10.2623541186,11.9520117961,12.4091285493,66.3572421074
11,1,15.7342959764,9.97070872989,11.0772857842,59.403014183
12,0,11.2325237672,10.1156629991,11.9972524888,65.2731230259
13,0,8.83094068988,10.0207087306,12.162420906,75.5816648006
14,0,9.98338695159,10.1841431563,11.8979088547,63.0515060425
15,0,6.97620225803,10.1207087321,12.0436761022,74.0376460552
16,0,6.20480580357,9.99740332202,12.515942212,66.2881839275
17,0,6.58452716034,9.99141940832,11.9443794909,73.7855658531
18,0,7.54430125368,10.0631032238,12.1537619966,64.2934148312
19,0,13.2834647973,9.99141940832,12.3218370107,73.9431009293
