,Cantidad_Colisiones,EGO_SCORE,Recorrido global path,Recorrido_total,Tiempo_total
0,0,0.0,10.5087755773,11.0415807678,57.4965639114
1,0,0.0,10.2248170005,10.7379075417,57.8507139683
2,0,0.0,10.297187357,11.1276499081,60.4207458496
3,0,0.0,10.444378685,10.620279398,55.6134428978
4,0,18.6580508608,10.0827371719,14.2844269817,90.8880810738
5,1,21.0568154483,9.99357408501,11.4091198125,61.6594719887
6,1,17.4019443724,10.7555566184,13.1726278985,99.4363539219
7,1,13.9115096116,10.4448449269,11.188938051,61.3281400204
8,0,0.0,10.0612685539,10.6553842213,53.6922998428
9,1,10.5696765778,10.0172623991,10.5617993202,53.870002985
10,0,0.0,10.8031895948,11.0187712646,57.1970820427
11,0,0.0,10.3330961094,10.7072110104,55.8193261623
12,0,0.0,10.2664740823,10.8855685447,58.5628941059
13,0,0.0,10.3302802121,10.6265318988,54.3391740322
14,1,16.6219348599,10.0173304105,14.1013810072,88.747948885
15,0,3.81690258478,10.0671218265,12.7344410857,78.1801469326
16,0,0.0,10.020708836,10.6382406891,52.9698929787
17,1,16.3667309599,9.97070872989,11.0391089386,58.1375977993
18,0,0.0,10.132622489,10.7361314873,53.0903141499
19,1,15.8570922107,10.0414194091,11.333528542,59.8518869877
